Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Intl_Plan,Vmail_Plan,State,Area_Code,Phone,Churn
128,25,265.1,197.4,244.7,10,1,no,yes,KS,415,382-4657,no
107,26,161.6,195.5,254.4,13.7,1,no,yes,OH,415,371-7191,no
137,0,243.4,121.2,162.6,12.2,0,no,no,NJ,415,358-1921,no
84,0,299.4,61.9,196.9,6.6,2,yes,no,OH,408,375-9999,no
75,0,166.7,148.3,186.9,10.1,3,yes,no,OK,415,330-6626,no
118,0,223.4,220.6,203.9,6.3,0,yes,no,AL,510,391-8027,no
121,24,218.2,348.5,212.6,7.5,3,no,yes,MA,510,355-9993,no
147,0,157,103.1,211.8,7.1,0,yes,no,MO,415,329-9001,no
117,0,184.5,351.6,215.8,8.7,1,no,no,LA,408,335-4719,no
141,37,258.6,222,326.4,11.2,0,yes,yes,WV,415,330-8173,no
65,0,129.1,228.5,208.8,12.7,4,no,no,IN,415,329-6603,yes
74,0,187.7,163.4,196,9.1,0,no,no,RI,415,344-9403,no
168,0,128.8,104.9,141.1,11.2,1,no,no,IA,408,363-1107,no
95,0,156.6,247.6,192.3,12.3,3,no,no,MT,510,394-8006,no
62,0,120.7,307.2,203,13.1,4,no,no,IA,415,366-9238,no
161,0,332.9,317.8,160.6,5.4,4,no,no,NY,415,351-7269,yes
85,27,196.4,280.9,89.3,13.8,1,no,yes,ID,408,350-8884,no
93,0,190.7,218.2,129.6,8.1,3,no,no,VT,510,386-2923,no
76,33,189.7,212.8,165.7,10,1,no,yes,VA,510,356-2992,no
73,0,224.4,159.5,192.8,13,1,no,no,TX,415,373-2782,no
147,0,155.1,239.7,208.8,10.6,0,no,no,FL,415,396-5800,no
77,0,62.4,169.9,209.6,5.7,5,no,no,CO,408,393-7984,yes
130,0,183,72.9,181.8,9.5,0,no,no,AZ,415,358-1958,no
111,0,110.4,137.3,189.6,7.7,2,no,no,SC,415,350-2565,no
132,0,81.1,245.2,237,10.3,0,no,no,VA,510,343-4696,no
174,0,124.3,277.1,250.7,15.5,3,no,no,NE,415,331-3698,no
57,39,213,191.1,182.7,9.5,0,no,yes,WY,408,357-3817,no
54,0,134.3,155.5,102.1,14.7,3,no,no,MT,408,418-6412,no
20,0,190,258.2,181.5,6.3,0,no,no,MO,415,353-2630,no
49,0,119.3,215.1,178.7,11.1,1,no,no,HI,510,410-7789,no
142,0,84.8,136.7,250.5,14.2,2,no,no,IL,415,416-8428,no
75,0,226.1,201.5,246.2,10.3,1,no,no,NH,510,370-3359,no
172,0,212,31.2,293.3,12.6,3,no,no,LA,408,383-1121,no
12,0,249.6,252.4,280.2,11.8,1,no,no,AZ,408,360-1596,yes
57,25,176.8,195,213.5,8.3,0,no,yes,OK,408,395-2854,no
72,37,220,217.3,152.8,14.7,3,no,yes,GA,415,362-1407,no
36,30,146.3,162.5,129.3,14.5,0,no,yes,AK,408,341-9764,no
78,0,130.8,223.7,227.8,10,1,no,no,MA,415,353-3305,no
136,33,203.9,187.6,101.7,10.5,3,yes,yes,AK,415,402-1381,no
149,0,140.4,271.8,188.3,11.1,1,no,no,NJ,408,332-9891,no
98,0,126.3,166.8,187.8,9.4,3,no,no,GA,408,372-9976,no
135,41,173.1,203.9,122.2,14.6,0,yes,yes,MD,408,383-6029,yes
34,0,124.8,282.2,311.5,10,2,no,no,AR,510,353-7289,no
160,0,85.8,165.3,178.5,9.2,3,no,no,ID,415,390-7274,no
64,0,154,225.8,265.3,3.5,1,no,no,WI,510,352-1237,no
59,28,120.9,213,163.1,8.5,2,no,yes,OR,408,353-3061,no
65,0,211.3,162.6,134.7,13.2,3,no,no,MI,415,363-5450,no
142,0,187,134.6,242.2,7.4,2,no,no,DE,408,364-1995,no
119,0,159.1,231.3,143.2,8.8,5,no,no,ID,415,398-1294,yes
97,24,133.2,217.2,70.6,11,1,no,yes,WY,415,405-7146,no
52,0,191.9,269.8,236.8,7.8,3,no,no,IA,408,413-4957,no
60,0,220.6,211.1,249,6.8,1,no,no,IN,408,420-5645,no
10,0,186.1,190.2,282.8,11.4,2,no,no,VA,408,349-4396,no
96,0,160.2,267.5,228.5,9.3,2,no,no,UT,415,404-3211,no
87,0,151,219.7,203.9,9.7,5,no,no,WY,415,353-3759,yes
81,0,175.5,249.3,270.2,10.2,1,no,no,IN,408,363-5947,no
141,0,126.9,180,140.8,8,1,no,no,CO,415,340-5121,no
121,30,198.4,75.3,181.2,5.8,3,no,yes,CO,408,370-7574,yes
68,0,148.8,246.5,129.8,12.1,3,no,no,WI,415,403-9733,no
125,0,229.3,177.4,189.3,12,1,no,no,OK,408,355-7251,no
174,0,192.1,169.9,166.6,11.4,1,no,no,ID,408,359-5893,no
116,34,268.6,178.2,166.3,11.6,2,no,yes,CA,415,405-3371,no
74,33,193.7,246.1,138,14.6,2,no,yes,MN,510,344-5117,no
149,28,180.7,187.8,265.5,12.6,3,no,yes,SD,408,332-8160,no
38,0,131.2,162.9,159,8.2,2,no,no,NC,408,359-4081,no
40,41,148.1,169.5,214.1,6.2,2,no,yes,WA,415,352-8305,no
43,0,251.5,212.8,157.8,9.3,0,yes,no,WY,415,329-9847,no
113,0,125.2,206.4,129.3,8.3,0,yes,no,MN,408,365-9011,no
126,0,211.6,216.9,153.5,7.8,1,no,no,UT,408,338-9472,no
150,0,178.9,169.1,148.6,13.8,4,no,no,TX,510,374-8042,yes
138,0,241.8,170.5,295.3,11.8,3,no,no,NJ,408,359-1231,no
162,46,224.9,188.2,254.6,12.1,0,no,yes,MN,510,413-7170,no
147,0,248.6,148.9,172.5,8,3,no,no,NM,510,415-2935,no
90,0,203.4,226.7,152.4,7.3,1,no,no,NV,415,399-4246,no
85,0,235.8,157.2,188.2,12,0,no,no,HI,415,362-5889,no
50,0,157.1,223.3,181.4,6.1,1,no,no,MN,415,350-8921,no
82,0,300.3,181,270.1,11.7,0,no,no,DC,415,374-5353,yes
144,0,61.6,77.1,173,8.2,4,no,no,NY,408,360-1171,yes
46,0,214.1,164.4,177.5,8.2,2,no,no,MN,415,355-8887,no
70,0,170.2,155.2,228.6,15,1,no,no,MD,408,333-1967,no
144,0,201.1,303.5,224,13.2,1,no,no,WV,415,354-4577,no
116,0,215.4,204.8,278.5,12.6,3,yes,no,OR,415,331-7425,no
55,25,165.6,136.1,175.7,11,3,no,yes,CO,408,419-2637,no
70,24,249.5,259.7,222.7,9.8,1,no,yes,GA,415,411-1530,no
106,0,210.6,249.2,191.4,12.4,2,no,no,TX,510,395-3026,yes
128,29,179.3,225.9,323,8.6,0,no,yes,VT,510,388-6441,no
94,0,157.9,155,189.6,8,4,no,no,IN,408,402-1251,yes
111,0,214.3,208.5,182.4,12,1,no,no,WV,510,412-9997,no
74,35,154.1,123.4,202.1,10.9,2,no,yes,KY,415,346-7302,no
128,0,237.9,247.6,208.9,13.9,1,no,no,NJ,415,358-9095,yes
82,0,143.9,194.9,109.6,11.1,1,no,no,DC,510,400-9770,no
155,0,203.4,190.9,196,8.9,0,no,no,LA,415,334-1275,yes
80,0,124.3,173,253.2,7.9,1,no,no,AR,415,340-4953,no
78,0,252.9,178.4,263.9,9.5,3,no,no,ME,415,400-9510,no
90,0,179.1,190.6,127.7,10.6,3,no,no,AZ,415,387-6103,no
104,0,278.4,81,163.2,9.8,1,no,no,AK,408,366-4467,no
73,0,160.1,213.3,174.1,13,0,no,no,MT,415,370-3450,no
99,0,198.2,207.3,190.9,8.7,4,no,no,AZ,415,327-3954,no
120,0,212.1,209.4,167.2,5.3,1,no,no,MS,408,355-6291,yes
77,0,251.8,205.7,275.2,9.8,2,no,no,ID,415,362-9748,yes
98,21,161.2,252.2,160.2,4.4,4,no,yes,IA,510,379-6506,no
108,0,178.3,189,129.1,14.6,0,no,no,MA,415,347-7741,no
135,0,151.7,119,180,10.5,0,no,no,VT,415,354-3783,no
95,0,135,183.6,245.3,12.5,1,no,no,KY,408,401-7594,no
122,0,170.5,173.7,248.6,11.3,1,no,no,IN,408,397-4976,no
95,0,238.1,187.2,190,11.8,4,no,no,AZ,408,334-2577,no
36,29,281.4,202.2,187.2,9,2,no,yes,MI,510,400-3637,no
93,21,117.9,164.5,217,9.8,1,no,yes,NM,510,383-4361,no
141,32,148.6,131.1,219.4,10.1,1,no,yes,CO,415,371-4306,no
157,0,229.8,147.9,241.4,9.6,3,no,no,UT,408,403-4298,no
120,0,165,317.2,119.2,8.3,1,no,no,MI,408,409-3786,no
103,0,185,223.3,222.8,12.6,2,no,no,MA,415,337-4697,no
98,0,161,190.9,227.7,12.1,4,no,no,AL,408,383-1509,no
125,0,126.7,206,247.8,13.3,1,no,no,DE,408,359-9794,no
63,0,58.9,169.6,211.4,9.4,1,no,no,AZ,415,407-7035,no
36,42,196.8,254.9,138.3,20,0,yes,yes,ME,510,363-1069,yes
64,0,162.6,152.3,57.5,14.2,1,no,no,NJ,510,391-4652,no
74,0,282.5,219.9,170,9.4,1,no,no,NV,415,355-6837,yes
112,36,113.7,157.5,177.6,10,2,no,yes,MO,510,409-1244,no
97,0,239.8,214.8,143.3,8.7,2,no,no,ID,408,328-3266,no
46,0,210.2,227.3,200.1,13.1,1,no,no,NE,408,352-7072,no
41,22,213.8,141.8,142.2,7.2,0,no,yes,TX,408,370-7550,no
121,0,190.7,183.5,220.8,9.8,3,no,no,MD,510,369-5526,no
193,0,170.9,132.3,112.9,11.6,1,no,no,MS,415,329-4391,no
130,0,154.2,110.2,227.4,9.2,2,no,no,NV,510,408-4195,no
85,0,201.4,229.4,252.5,12,1,no,no,AZ,408,354-4445,no
162,0,70.7,157.5,154.8,9.1,4,no,no,MS,415,335-4858,yes
61,27,187.5,146.6,225.7,6.4,4,no,yes,MS,510,414-8718,yes
92,0,91.7,193.7,175,9.2,2,no,no,TX,408,409-5939,no
131,36,214.2,161.7,264.7,9.5,3,no,yes,NE,408,331-4902,no
90,0,145.5,217.7,146.9,10.9,3,no,no,NE,415,353-6870,no
75,0,166.3,158.2,256.7,6.1,1,no,no,CA,408,355-2909,no
78,0,231,230.4,261.4,9.5,1,no,no,NJ,415,390-6101,no
82,0,200.3,201.2,206.1,7.1,4,no,no,TX,408,400-3446,no
163,0,197,202.6,206.4,9.1,1,no,no,AR,408,411-5859,no
91,0,129.9,173.3,247.2,11.2,3,yes,no,AL,510,387-2919,no
75,21,175.8,217.5,237.5,5.3,5,no,yes,NY,415,374-8525,no
91,0,203.1,210.1,195.6,12,3,no,no,FL,510,379-5592,no
127,36,183.2,126.8,263.3,11.2,1,no,yes,AK,510,345-8237,no
113,23,205,152,158.6,10.2,2,no,yes,NV,415,422-6690,no
110,0,148.5,276.4,193.6,12.4,1,no,no,DE,510,346-2359,no
120,39,200.3,220.4,253.8,10.5,0,no,yes,MD,415,374-3534,no
157,28,192.6,195.5,109.7,6.8,3,no,yes,MI,415,381-4756,no
103,0,246.5,195.5,200.5,11.7,1,no,no,VT,510,390-2805,no
117,0,167.1,177.5,249.4,14.1,2,yes,no,VT,408,390-2390,yes
140,0,231.9,160.1,110.4,14.3,3,no,no,MI,415,419-9097,no
